Posicionx;Posiciony;Casilla;ficha
640;700;1;1
575;700;2;1
515;700;3;1
455;700;4;1
395;700;5;1
335;700;6;1
275;700;7;1
215;700;8;1
155;700;9;1
95;700;10;1
0;640;11;2
0;575;12;2
0;515;13;2
0;455;14;2
0;395;15;2
0;335;16;2
0;275;17;2
0;215;18;2
0;155;19;2
0;95;20;2
65;0;21;3
125;0;22;3
185;0;23;3
245;0;24;3
305;0;25;3
365;0;26;3
425;0;27;3
485;0;28;3
545;0;29;3
605;0;30;3
700;65;31;4
700;125;32;4
700;185;33;4
700;245;34;4
700;305;35;4
700;365;36;4
700;425;37;4
700;485;38;4
700;545;39;4
700;605;40;4
